epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,3752.99,1.59269,1.84348,1.8261,0.6743,0.64056,0.69556,0.36614,1.58298,1.54616,1.88875,0.000297081,0.000297081,0.000297081
76,3803.22,1.57934,1.83197,1.81783,0.68999,0.66777,0.705,0.36804,1.59964,1.5303,1.88205,0.000286083,0.000286083,0.000286083
77,3853.72,1.56641,1.80009,1.80114,0.70672,0.65272,0.70874,0.37008,1.56954,1.52516,1.88302,0.000275084,0.000275084,0.000275084
78,3904.33,1.59087,1.79233,1.81491,0.67841,0.65248,0.70662,0.36796,1.58667,1.50046,1.88844,0.000264085,0.000264085,0.000264085
79,3954.52,1.57281,1.78795,1.80961,0.67474,0.65581,0.69944,0.36674,1.58296,1.51512,1.87809,0.000253086,0.000253086,0.000253086
80,4004.95,1.55967,1.76548,1.80199,0.68142,0.66823,0.71045,0.37593,1.57226,1.49776,1.8709,0.000242087,0.000242087,0.000242087
81,4055.25,1.56773,1.78419,1.80274,0.70439,0.67027,0.71911,0.3758,1.5943,1.49172,1.89264,0.000231088,0.000231088,0.000231088
82,4105.93,1.56727,1.76684,1.79549,0.71434,0.65507,0.71515,0.37645,1.58983,1.49038,1.88949,0.000220089,0.000220089,0.000220089
83,4156.47,1.55957,1.78677,1.79458,0.72208,0.66147,0.71912,0.37611,1.58684,1.51038,1.89612,0.00020909,0.00020909,0.00020909
84,4207.06,1.56486,1.74949,1.79136,0.69806,0.6701,0.71497,0.376,1.58588,1.50281,1.88885,0.000198091,0.000198091,0.000198091
85,4257.43,1.55253,1.73847,1.78861,0.69302,0.66998,0.71599,0.37542,1.59111,1.48987,1.88938,0.000187092,0.000187092,0.000187092
86,4308.34,1.5416,1.73461,1.77909,0.69773,0.66246,0.71613,0.37777,1.59198,1.48662,1.89,0.000176094,0.000176094,0.000176094
87,4358.91,1.55946,1.71914,1.7974,0.70215,0.67379,0.71522,0.37624,1.59608,1.48381,1.90212,0.000165095,0.000165095,0.000165095
88,4409.28,1.53959,1.69473,1.77463,0.67468,0.66809,0.70972,0.37521,1.58962,1.47012,1.88586,0.000154096,0.000154096,0.000154096
89,4460,1.52505,1.71607,1.76493,0.70708,0.66761,0.72073,0.382,1.58951,1.46543,1.88586,0.000143097,0.000143097,0.000143097
90,4510.53,1.53457,1.68619,1.77844,0.70421,0.66673,0.71862,0.38006,1.59636,1.46494,1.90097,0.000132098,0.000132098,0.000132098
91,4559.9,1.48979,1.53245,1.76254,0.70038,0.67398,0.70892,0.37394,1.60543,1.48542,1.90217,0.000121099,0.000121099,0.000121099
92,4608.27,1.48363,1.5007,1.76842,0.69448,0.6776,0.71843,0.38132,1.59115,1.46093,1.89666,0.0001101,0.0001101,0.0001101
93,4656.58,1.47591,1.48616,1.78635,0.69122,0.67522,0.71493,0.38163,1.58226,1.45892,1.89305,9.91012e-05,9.91012e-05,9.91012e-05
94,4704.72,1.46636,1.47536,1.77313,0.70747,0.68299,0.72226,0.38295,1.59506,1.4496,1.90637,8.81023e-05,8.81023e-05,8.81023e-05
95,4752.32,1.47366,1.45123,1.76672,0.71242,0.68738,0.73143,0.38767,1.59542,1.43733,1.90414,7.71034e-05,7.71034e-05,7.71034e-05
96,4800.1,1.46604,1.44039,1.76446,0.70092,0.68542,0.72383,0.3843,1.59504,1.43942,1.90521,6.61045e-05,6.61045e-05,6.61045e-05
97,4848.18,1.45887,1.41504,1.75141,0.68826,0.7019,0.73134,0.3844,1.60551,1.43255,1.91104,5.51056e-05,5.51056e-05,5.51056e-05
98,4896.38,1.44084,1.43086,1.73663,0.6906,0.69105,0.72822,0.38307,1.60435,1.43423,1.91323,4.41067e-05,4.41067e-05,4.41067e-05
99,4944.54,1.44611,1.42034,1.74665,0.68463,0.7085,0.72843,0.38379,1.60094,1.43673,1.90904,3.31078e-05,3.31078e-05,3.31078e-05
100,4992.53,1.44594,1.39714,1.74717,0.68838,0.71261,0.72872,0.38443,1.60278,1.43508,1.91194,2.21089e-05,2.21089e-05,2.21089e-05
